,accuracy,precision,recall
3321221,0.843125,0.35,0.058577405857740586
1111222,0.8425,0.35,0.058333333333333334
1111221,0.856875,0.275,0.052132701421800945
3111212,0.859375,0.5238095238095238,0.048672566371681415
1133221,0.851875,0.36666666666666664,0.048034934497816595
1113322,0.853125,0.4230769230769231,0.047619047619047616
1222221,0.841875,0.25,0.047619047619047616
1312221,0.839375,0.2702702702702703,0.041666666666666664
3121121,0.859375,0.20512820512820512,0.039603960396039604
1113121,0.848125,0.2727272727272727,0.039473684210526314
1221222,0.855625,0.42857142857142855,0.039473684210526314
1121111,0.853125,0.375,0.039301310043668124
1123211,0.865625,0.4,0.037914691943127965
3321122,0.860625,0.32,0.037383177570093455
2111121,0.834375,0.23076923076923078,0.036885245901639344
1221121,0.846875,0.5,0.036734693877551024
3322222,0.84375,0.4090909090909091,0.036585365853658534
1112111,0.87375,0.3333333333333333,0.035897435897435895
1122222,0.83875,0.16666666666666666,0.035398230088495575
1213312,0.854375,0.4,0.034934497816593885
2111221,0.8425,0.21052631578947367,0.034782608695652174
1322121,0.854375,0.5,0.034334763948497854
1212122,0.864375,0.4666666666666667,0.032407407407407406
1121221,0.855625,0.28,0.031818181818181815
3112222,0.8575,0.5833333333333334,0.030434782608695653
3122221,0.850625,0.3181818181818182,0.030303030303030304
1221212,0.844375,0.23333333333333334,0.030042918454935622
1323121,0.85,0.4375,0.029411764705882353
3221322,0.864375,0.24,0.029411764705882353
3131122,0.868125,0.375,0.028985507246376812
1122112,0.86625,0.35294117647058826,0.028708133971291867
2123212,0.86875,0.46153846153846156,0.028708133971291867
1221111,0.836875,0.22580645161290322,0.028688524590163935
1131212,0.865625,0.42857142857142855,0.028169014084507043
3111111,0.85875,0.2857142857142857,0.027649769585253458
1111312,0.85875,0.4,0.026905829596412557
1132312,0.856875,0.5,0.026200873362445413
1322222,0.855625,0.42857142857142855,0.026200873362445413
1322312,0.853125,0.3333333333333333,0.026200873362445413
2321122,0.85375,0.4,0.025974025974025976
3122222,0.8475,0.3,0.025423728813559324
3123221,0.850625,0.46153846153846156,0.025210084033613446
